rank,track,artist,album,duration_sec,explicit,spotify_url,extracted_at,time_range,duration_fmt
1,Fancy,Yeyo,Fancy,172,True,https://open.spotify.com/track/21p1eBu4YSjLpaq3HY3Kcv,2026-04-20 10:27:50.865963,short_term,2:52
2,Frazadas,VisarraSSJ,Frazadas,249,True,https://open.spotify.com/track/3GLKueill7EmhtRxoU7H01,2026-04-20 10:27:50.865963,short_term,4:09
3,Doma,Jósean Log,Háblate de Mí,188,False,https://open.spotify.com/track/58cLm4PaHNt8DDr9ayZnNz,2026-04-20 10:27:50.865963,short_term,3:08
4,Chichabeba,La Obsesion,"LA OBSESION, VOL. 1",131,True,https://open.spotify.com/track/5ntlWZx00S7XlXW7cuUk3g,2026-04-20 10:27:50.865963,short_term,2:11
5,"Bandida bandida, no me odies por que llevo mala vida",jccamiloo,"Bandida bandida, no me odies por que llevo mala vida",121,True,https://open.spotify.com/track/3ZAhIzGS0Y5KTc4lSyyjwg,2026-04-20 10:27:50.865963,short_term,2:01
6,Barbie de extrarradio,Melendi,Volvamos a empezar (Deluxe edition),215,False,https://open.spotify.com/track/7bp62Lo0nOBcfB70iUoibE,2026-04-20 10:27:50.865963,short_term,3:35
7,Nudes,KHEA,TAROT: Del cielo al infierno,153,True,https://open.spotify.com/track/5PZAdicPf8WfcB2Gsfh8p0,2026-04-20 10:27:50.865963,short_term,2:33
8,Ya No Me Acuerdo,Estopa,¿La Calle Es Tuya?,170,False,https://open.spotify.com/track/1vHY8bEVI7Sg85xNMTDxXM,2026-04-20 10:27:50.865963,short_term,2:50
9,Behind Me,C.R.O,Behind Me,299,True,https://open.spotify.com/track/2G8sPU3IlxV8eFKLVqir2u,2026-04-20 10:27:50.865963,short_term,4:59
10,Maldad,Yeyo,Maldad,204,True,https://open.spotify.com/track/2lATpikfgRYwnrdNuETjSD,2026-04-20 10:27:50.865963,short_term,3:24
11,Bossanova,Estopa,Estopa,196,False,https://open.spotify.com/track/26PQ2HSYlky6lK9MrvMZB8,2026-04-20 10:27:50.865963,short_term,3:16
12,L'AMOUR,Kidd Keo,L'AMOUR,129,True,https://open.spotify.com/track/7kjueSsuNBXj15wgSW19eC,2026-04-20 10:27:50.865963,short_term,2:09
13,プロポーズ,9Lana,Let me battle,234,False,https://open.spotify.com/track/28Pq4gEOWpCj9jSNwZu95A,2026-04-20 10:27:50.865963,short_term,3:54
14,Por la Raja de Tu Falda,Estopa,Estopa,202,False,https://open.spotify.com/track/5OaqffbeQyVVqtnA71Ci7K,2026-04-20 10:27:50.865963,short_term,3:22
15,El aire de la calle,Los Delinqüentes,El Sentimiento Garrapatero Que Nos Traen Las Flores,186,False,https://open.spotify.com/track/2PaETSKl3w3IdtLIbDnQXJ,2026-04-20 10:27:50.865963,short_term,3:06
16,INNECESARIO,Reolid,INNECESARIO,195,False,https://open.spotify.com/track/05q4ntqrPKwHYwV3JxAoM3,2026-04-20 10:27:50.865963,short_term,3:15
17,Beauty And A Beat,Justin Bieber,Believe,227,False,https://open.spotify.com/track/6QFCMUUq1T2Vf5sFUXcuQ7,2026-04-20 10:27:50.865963,short_term,3:47
18,Diamante en Bruto,C.R.O,Malos Cantores,175,True,https://open.spotify.com/track/4s8JigQIXjce6RpsInu8No,2026-04-20 10:27:50.865963,short_term,2:55
19,Me Mareo,Kidd Voodoo,SATIROLOGÍA (DELUXE EDITION),168,True,https://open.spotify.com/track/6jBoUckd6VEImt6pg8RpDr,2026-04-20 10:27:50.865963,short_term,2:48
20,Closer,Ne-Yo,Year Of The Gentleman,234,False,https://open.spotify.com/track/0GX5oOKtU0nnx5OkhenW2i,2026-04-20 10:27:50.865963,short_term,3:54
